,country,year,sex,age,cases
24508,AE,2006,f,35-44,5
7365,AE,2006,m,35-44,7
26957,AE,2006,f,45-54,3
9814,AE,2006,m,45-54,3
29406,AE,2006,f,55-64,4
12263,AE,2006,m,55-64,1
31855,AE,2006,f,65+,5
14712,AE,2006,m,65+,4
17162,AE,2007,f,0-14,1
19,AE,2007,m,0-14,2
19611,AE,2007,f,15-24,8
2468,AE,2007,m,15-24,5
22060,AE,2007,f,25-34,6
4917,AE,2007,m,25-34,6
24509,AE,2007,f,35-44,3
7366,AE,2007,m,35-44,3
26958,AE,2007,f,45-54,2
9815,AE,2007,m,45-54,4
29407,AE,2007,f,55-64,0
12264,AE,2007,m,55-64,3
31856,AE,2007,f,65+,0
14713,AE,2007,m,65+,10
17163,AE,2008,f,0-14,0
20,AE,2008,m,0-14,0
19612,AE,2008,f,15-24,10
2469,AE,2008,m,15-24,6
22061,AE,2008,f,25-34,4
4918,AE,2008,m,25-34,1
24510,AE,2008,f,35-44,1
7367,AE,2008,m,35-44,7
26959,AE,2008,f,45-54,1
9816,AE,2008,m,45-54,5
29408,AE,2008,f,55-64,3
12265,AE,2008,m,55-64,3
31857,AE,2008,f,65+,3
14714,AE,2008,m,65+,6
17164,AF,1997,f,0-14,5
21,AF,1997,m,0-14,0
19613,AF,1997,f,15-24,38
2470,AF,1997,m,15-24,10
22062,AF,1997,f,25-34,36
4919,AF,1997,m,25-34,6
24511,AF,1997,f,35-44,14
7368,AF,1997,m,35-44,3
26960,AF,1997,f,45-54,8
9817,AF,1997,m,45-54,5
29409,AF,1997,f,55-64,0
12266,AF,1997,m,55-64,2
31858,AF,1997,f,65+,1
14715,AF,1997,m,65+,0
17165,AF,1998,f,0-14,45
22,AF,1998,m,0-14,30
19614,AF,1998,f,15-24,350
2471,AF,1998,m,15-24,129
22063,AF,1998,f,25-34,419
4920,AF,1998,m,25-34,128
24512,AF,1998,f,35-44,194
7369,AF,1998,m,35-44,90
26961,AF,1998,f,45-54,118
9818,AF,1998,m,45-54,89
29410,AF,1998,f,55-64,61
12267,AF,1998,m,55-64,64
31859,AF,1998,f,65+,20
14716,AF,1998,m,65+,41
17166,AF,1999,f,0-14,25
23,AF,1999,m,0-14,8
19615,AF,1999,f,15-24,139
2472,AF,1999,m,15-24,55
22064,AF,1999,f,25-34,160
4921,AF,1999,m,25-34,55
24513,AF,1999,f,35-44,110
7370,AF,1999,m,35-44,47
26962,AF,1999,f,45-54,50
9819,AF,1999,m,45-54,34
29411,AF,1999,f,55-64,25
12268,AF,1999,m,55-64,21
31860,AF,1999,f,65+,8
14717,AF,1999,m,65+,8
17167,AF,2000,f,0-14,93
24,AF,2000,m,0-14,52
19616,AF,2000,f,15-24,414
2473,AF,2000,m,15-24,228
22065,AF,2000,f,25-34,565
4922,AF,2000,m,25-34,183
24514,AF,2000,f,35-44,339
7371,AF,2000,m,35-44,149
26963,AF,2000,f,45-54,205
9820,AF,2000,m,45-54,129
29412,AF,2000,f,55-64,99
12269,AF,2000,m,55-64,94
31861,AF,2000,f,65+,36
14718,AF,2000,m,65+,80
17168,AF,2001,f,0-14,146
25,AF,2001,m,0-14,129
19617,AF,2001,f,15-24,799
2474,AF,2001,m,15-24,379
22066,AF,2001,f,25-34,888
4923,AF,2001,m,25-34,349
24515,AF,2001,f,35-44,586
7372,AF,2001,m,35-44,274
26964,AF,2001,f,45-54,375
9821,AF,2001,m,45-54,204
29413,AF,2001,f,55-64,179
12270,AF,2001,m,55-64,139
31862,AF,2001,f,65+,89
14719,AF,2001,m,65+,103
17169,AF,2002,f,0-14,192
26,AF,2002,m,0-14,90
19618,AF,2002,f,15-24,1119
2475,AF,2002,m,15-24,476
22067,AF,2002,f,25-34,1251
4924,AF,2002,m,25-34,481
24516,AF,2002,f,35-44,792
7373,AF,2002,m,35-44,368
26965,AF,2002,f,45-54,526
9822,AF,2002,m,45-54,246
29414,AF,2002,f,55-64,320
12271,AF,2002,m,55-64,241
31863,AF,2002,f,65+,218
14720,AF,2002,m,65+,189
17170,AF,2003,f,0-14,245
27,AF,2003,m,0-14,127
19619,AF,2003,f,15-24,1152
2476,AF,2003,m,15-24,511
22068,AF,2003,f,25-34,1287
4925,AF,2003,m,25-34,436
24517,AF,2003,f,35-44,814
7374,AF,2003,m,35-44,284
26966,AF,2003,f,45-54,462
9823,AF,2003,m,45-54,256
29415,AF,2003,f,55-64,305
12272,AF,2003,m,55-64,288
31864,AF,2003,f,65+,158
14721,AF,2003,m,65+,203
17171,AF,2004,f,0-14,256
28,AF,2004,m,0-14,139
19620,AF,2004,f,15-24,1360
2477,AF,2004,m,15-24,537
22069,AF,2004,f,25-34,1561
4926,AF,2004,m,25-34,568
24518,AF,2004,f,35-44,1096
7375,AF,2004,m,35-44,360
26967,AF,2004,f,45-54,645
9824,AF,2004,m,45-54,358
29416,AF,2004,f,55-64,413
12273,AF,2004,m,55-64,386
31865,AF,2004,f,65+,256
14722,AF,2004,m,65+,310
17172,AF,2005,f,0-14,320
29,AF,2005,m,0-14,151
19621,AF,2005,f,15-24,1651
2478,AF,2005,m,15-24,606
22070,AF,2005,f,25-34,1959
4927,AF,2005,m,25-34,560
24519,AF,2005,f,35-44,1302
7376,AF,2005,m,35-44,472
26968,AF,2005,f,45-54,869
9825,AF,2005,m,45-54,453
29417,AF,2005,f,55-64,471
12274,AF,2005,m,55-64,470
31866,AF,2005,f,65+,246
14723,AF,2005,m,65+,419
17173,AF,2006,f,0-14,442
30,AF,2006,m,0-14,193
19622,AF,2006,f,15-24,2139
2479,AF,2006,m,15-24,837
22071,AF,2006,f,25-34,2340
4928,AF,2006,m,25-34,791
24520,AF,2006,f,35-44,1654
7377,AF,2006,m,35-44,574
26969,AF,2006,f,45-54,1006
9826,AF,2006,m,45-54,572
29418,AF,2006,f,55-64,630
12275,AF,2006,m,55-64,572
31867,AF,2006,f,65+,309
14724,AF,2006,m,65+,410
17174,AF,2007,f,0-14,475
31,AF,2007,m,0-14,186
19623,AF,2007,f,15-24,2224
2480,AF,2007,m,15-24,856
22072,AF,2007,f,25-34,2357
4929,AF,2007,m,25-34,840
24521,AF,2007,f,35-44,1708
7378,AF,2007,m,35-44,597
26970,AF,2007,f,45-54,1143
9827,AF,2007,m,45-54,566
29419,AF,2007,f,55-64,771
12276,AF,2007,m,55-64,630
31868,AF,2007,f,65+,353
14725,AF,2007,m,65+,507
17175,AF,2008,f,0-14,428
32,AF,2008,m,0-14,187
19624,AF,2008,f,15-24,2094
2481,AF,2008,m,15-24,941
22073,AF,2008,f,25-34,2449
4930,AF,2008,m,25-34,773
24522,AF,2008,f,35-44,1614
7379,AF,2008,m,35-44,545
26971,AF,2008,f,45-54,1149
9828,AF,2008,m,45-54,570
29420,AF,2008,f,55-64,817
12277,AF,2008,m,55-64,630
31869,AF,2008,f,65+,364
14726,AF,2008,m,65+,575
17176,AG,1996,f,0-14,0
33,AG,1996,m,0-14,0
19625,AG,1996,f,15-24,0
2482,AG,1996,m,15-24,0
22074,AG,1996,f,25-34,0
4931,AG,1996,m,25-34,0
24523,AG,1996,f,35-44,1
7380,AG,1996,m,35-44,0
26972,AG,1996,f,45-54,0
9829,AG,1996,m,45-54,1
29421,AG,1996,f,55-64,0
12278,AG,1996,m,55-64,0
31870,AG,1996,f,65+,0
14727,AG,1996,m,65+,0
17177,AG,2000,f,0-14,1
34,AG,2000,m,0-14,0
19626,AG,2000,f,15-24,1
2483,AG,2000,m,15-24,0
22075,AG,2000,f,25-34,1
4932,AG,2000,m,25-34,0
24524,AG,2000,f,35-44,0
7381,AG,2000,m,35-44,0
26973,AG,2000,f,45-54,0
9830,AG,2000,m,45-54,0
29422,AG,2000,f,55-64,0
12279,AG,2000,m,55-64,0
31871,AG,2000,f,65+,0
14728,AG,2000,m,65+,1
17178,AG,2001,f,0-14,0
35,AG,2001,m,0-14,0
19627,AG,2001,f,15-24,1
2484,AG,2001,m,15-24,0
22076,AG,2001,f,25-34,0
4933,AG,2001,m,25-34,0
24525,AG,2001,f,35-44,0
7382,AG,2001,m,35-44,0
26974,AG,2001,f,45-54,0
9831,AG,2001,m,45-54,0
29423,AG,2001,f,55-64,0
12280,AG,2001,m,55-64,0
31872,AG,2001,f,65+,0
14729,AG,2001,m,65+,0
17179,AG,2002,f,0-14,2
36,AG,2002,m,0-14,0
19628,AG,2002,f,15-24,0
2485,AG,2002,m,15-24,0
22077,AG,2002,f,25-34,1
4934,AG,2002,m,25-34,1
24526,AG,2002,f,35-44,0
7383,AG,2002,m,35-44,0
26975,AG,2002,f,45-54,0
9832,AG,2002,m,45-54,0
29424,AG,2002,f,55-64,0
12281,AG,2002,m,55-64,0
31873,AG,2002,f,65+,0
14730,AG,2002,m,65+,0
17180,AG,2003,f,0-14,0
37,AG,2003,m,0-14,0
19629,AG,2003,f,15-24,0
2486,AG,2003,m,15-24,0
22078,AG,2003,f,25-34,0
4935,AG,2003,m,25-34,1
24527,AG,2003,f,35-44,0
7384,AG,2003,m,35-44,0
26976,AG,2003,f,45-54,0
9833,AG,2003,m,45-54,0
29425,AG,2003,f,55-64,0
12282,AG,2003,m,55-64,0
31874,AG,2003,f,65+,0
14731,AG,2003,m,65+,0
17181,AG,2005,f,0-14,0
38,AG,2005,m,0-14,0
19630,AG,2005,f,15-24,2
2487,AG,2005,m,15-24,0
22079,AG,2005,f,25-34,2
4936,AG,2005,m,25-34,0
24528,AG,2005,f,35-44,0
7385,AG,2005,m,35-44,1
26977,AG,2005,f,45-54,0
9834,AG,2005,m,45-54,1
29426,AG,2005,f,55-64,0
12283,AG,2005,m,55-64,0
31875,AG,2005,f,65+,0
14732,AG,2005,m,65+,0
17182,AG,2007,f,0-14,0
39,AG,2007,m,0-14,0
19631,AG,2007,f,15-24,0
2488,AG,2007,m,15-24,0
22080,AG,2007,f,25-34,0
4937,AG,2007,m,25-34,0
24529,AG,2007,f,35-44,0
7386,AG,2007,m,35-44,0
26978,AG,2007,f,45-54,0
9835,AG,2007,m,45-54,1
29427,AG,2007,f,55-64,0
12284,AG,2007,m,55-64,1
31876,AG,2007,f,65+,0
14733,AG,2007,m,65+,0
17183,AG,2008,f,0-14,0
40,AG,2008,m,0-14,0
19632,AG,2008,f,15-24,0
2489,AG,2008,m,15-24,0
22081,AG,2008,f,25-34,0
4938,AG,2008,m,25-34,0
24530,AG,2008,f,35-44,0
7387,AG,2008,m,35-44,0
26979,AG,2008,f,45-54,0
9836,AG,2008,m,45-54,1
29428,AG,2008,f,55-64,0
12285,AG,2008,m,55-64,0
31877,AG,2008,f,65+,0
14734,AG,2008,m,65+,0
17184,AI,2004,f,0-14,0
41,AI,2004,m,0-14,0
19633,AI,2004,f,15-24,0
2490,AI,2004,m,15-24,0
22082,AI,2004,f,25-34,0
4939,AI,2004,m,25-34,0
24531,AI,2004,f,35-44,0
7388,AI,2004,m,35-44,0
26980,AI,2004,f,45-54,0
9837,AI,2004,m,45-54,0
29429,AI,2004,f,55-64,0
12286,AI,2004,m,55-64,0
31878,AI,2004,f,65+,0
14735,AI,2004,m,65+,0
17185,AL,1995,f,0-14,0
42,AL,1995,m,0-14,0
19634,AL,1995,f,15-24,1
2491,AL,1995,m,15-24,0
22083,AL,1995,f,25-34,0
4940,AL,1995,m,25-34,0
24532,AL,1995,f,35-44,0
7389,AL,1995,m,35-44,0
26981,AL,1995,f,45-54,13
9838,AL,1995,m,45-54,19
29430,AL,1995,f,55-64,20
12287,AL,1995,m,55-64,40
31879,AL,1995,f,65+,16
14736,AL,1995,m,65+,30
17186,AL,1997,f,0-14,1
43,AL,1997,m,0-14,0
19635,AL,1997,f,15-24,16
2492,AL,1997,m,15-24,23
22084,AL,1997,f,25-34,19
4941,AL,1997,m,25-34,43
24533,AL,1997,f,35-44,14
7390,AL,1997,m,35-44,33
26982,AL,1997,f,45-54,9
9839,AL,1997,m,45-54,25
29431,AL,1997,f,55-64,10
12288,AL,1997,m,55-64,21
31880,AL,1997,f,65+,8
14737,AL,1997,m,65+,19
17187,AL,1998,f,0-14,2
44,AL,1998,m,0-14,1
19636,AL,1998,f,15-24,19
2493,AL,1998,m,15-24,17
22085,AL,1998,f,25-34,11
4942,AL,1998,m,25-34,21
24534,AL,1998,f,35-44,12
7391,AL,1998,m,35-44,24
26983,AL,1998,f,45-54,13
9840,AL,1998,m,45-54,18
29432,AL,1998,f,55-64,11
12289,AL,1998,m,55-64,26
31881,AL,1998,f,65+,13
14738,AL,1998,m,65+,24
17188,AL,1999,f,0-14,0
45,AL,1999,m,0-14,0
19637,AL,1999,f,15-24,5
2494,AL,1999,m,15-24,13
22086,AL,1999,f,25-34,13
4943,AL,1999,m,25-34,23
24535,AL,1999,f,35-44,11
7392,AL,1999,m,35-44,25
26984,AL,1999,f,45-54,5
9841,AL,1999,m,45-54,19
29433,AL,1999,f,55-64,8
12290,AL,1999,m,55-64,15
31882,AL,1999,f,65+,16
14739,AL,1999,m,65+,15
17189,AL,2000,f,0-14,3
46,AL,2000,m,0-14,2
19638,AL,2000,f,15-24,11
2495,AL,2000,m,15-24,19
22087,AL,2000,f,25-34,10
4944,AL,2000,m,25-34,21
24536,AL,2000,f,35-44,8
7393,AL,2000,m,35-44,14
26985,AL,2000,f,45-54,8
9842,AL,2000,m,45-54,24
29434,AL,2000,f,55-64,5
12291,AL,2000,m,55-64,19
31883,AL,2000,f,65+,11
14740,AL,2000,m,65+,16
17190,AL,2001,f,0-14,1
47,AL,2001,m,0-14,3
19639,AL,2001,f,15-24,12
2496,AL,2001,m,15-24,13
22088,AL,2001,f,25-34,10
4945,AL,2001,m,25-34,18
24537,AL,2001,f,35-44,5
7394,AL,2001,m,35-44,17
26986,AL,2001,f,45-54,7
9843,AL,2001,m,45-54,19
29435,AL,2001,f,55-64,7
12292,AL,2001,m,55-64,20
31884,AL,2001,f,65+,9
14741,AL,2001,m,65+,30
17191,AL,2002,f,0-14,2
48,AL,2002,m,0-14,0
19640,AL,2002,f,15-24,20
2497,AL,2002,m,15-24,21
22089,AL,2002,f,25-34,19
4946,AL,2002,m,25-34,27
24538,AL,2002,f,35-44,9
7395,AL,2002,m,35-44,29
26987,AL,2002,f,45-54,6
9844,AL,2002,m,45-54,19
29436,AL,2002,f,55-64,8
12293,AL,2002,m,55-64,23
31885,AL,2002,f,65+,17
14742,AL,2002,m,65+,25
17192,AL,2003,f,0-14,2
49,AL,2003,m,0-14,0
19641,AL,2003,f,15-24,13
2498,AL,2003,m,15-24,28
22090,AL,2003,f,25-34,8
4947,AL,2003,m,25-34,19
24539,AL,2003,f,35-44,6
7396,AL,2003,m,35-44,32
26988,AL,2003,f,45-54,14
9845,AL,2003,m,45-54,16
29437,AL,2003,f,55-64,12
12294,AL,2003,m,55-64,22
31886,AL,2003,f,65+,20
14743,AL,2003,m,65+,19
17193,AL,2004,f,0-14,2
50,AL,2004,m,0-14,5
19642,AL,2004,f,15-24,12
2499,AL,2004,m,15-24,12
22091,AL,2004,f,25-34,12
4948,AL,2004,m,25-34,19
24540,AL,2004,f,35-44,8
7397,AL,2004,m,35-44,21
26989,AL,2004,f,45-54,11
9846,AL,2004,m,45-54,24
29438,AL,2004,f,55-64,10
12295,AL,2004,m,55-64,23
31887,AL,2004,f,65+,22
14744,AL,2004,m,65+,20
17194,AL,2005,f,0-14,0
51,AL,2005,m,0-14,0
19643,AL,2005,f,15-24,3
2500,AL,2005,m,15-24,26
22092,AL,2005,f,25-34,9
4949,AL,2005,m,25-34,21
24541,AL,2005,f,35-44,5
7398,AL,2005,m,35-44,16
26990,AL,2005,f,45-54,5
9847,AL,2005,m,45-54,31
29439,AL,2005,f,55-64,5
12296,AL,2005,m,55-64,20
31888,AL,2005,f,65+,18
14745,AL,2005,m,65+,37
17195,AL,2006,f,0-14,2
52,AL,2006,m,0-14,5
19644,AL,2006,f,15-24,12
2501,AL,2006,m,15-24,24
22093,AL,2006,f,25-34,8
4950,AL,2006,m,25-34,19
24542,AL,2006,f,35-44,7
7399,AL,2006,m,35-44,22
26991,AL,2006,f,45-54,7
9848,AL,2006,m,45-54,21
29440,AL,2006,f,55-64,7
12297,AL,2006,m,55-64,19
31889,AL,2006,f,65+,13
14746,AL,2006,m,65+,20
17196,AL,2007,f,0-14,2
53,AL,2007,m,0-14,0
19645,AL,2007,f,15-24,13
2502,AL,2007,m,15-24,19
22094,AL,2007,f,25-34,9
4951,AL,2007,m,25-34,13
24543,AL,2007,f,35-44,7
7400,AL,2007,m,35-44,16
26992,AL,2007,f,45-54,7
9849,AL,2007,m,45-54,24
29441,AL,2007,f,55-64,11
12298,AL,2007,m,55-64,16
31890,AL,2007,f,65+,9
14747,AL,2007,m,65+,19
17197,AL,2008,f,0-14,1
54,AL,2008,m,0-14,1
19646,AL,2008,f,15-24,20
2503,AL,2008,m,15-24,23
22095,AL,2008,f,25-34,10
4952,AL,2008,m,25-34,26
24544,AL,2008,f,35-44,8
7401,AL,2008,m,35-44,13
26993,AL,2008,f,45-54,5
9850,AL,2008,m,45-54,19
29442,AL,2008,f,55-64,5
12299,AL,2008,m,55-64,13
31891,AL,2008,f,65+,10
14748,AL,2008,m,65+,16
17198,AM,1995,f,0-14,1
55,AM,1995,m,0-14,1
19647,AM,1995,f,15-24,1
2504,AM,1995,m,15-24,18
22096,AM,1995,f,25-34,7
4953,AM,1995,m,25-34,16
24545,AM,1995,f,35-44,2
7402,AM,1995,m,35-44,11
26994,AM,1995,f,45-54,1
9851,AM,1995,m,45-54,10
29443,AM,1995,f,55-64,1
12300,AM,1995,m,55-64,8
31892,AM,1995,f,65+,0
14749,AM,1995,m,65+,1
17199,AM,1996,f,0-14,0
56,AM,1996,m,0-14,2
19648,AM,1996,f,15-24,9
2505,AM,1996,m,15-24,53
22097,AM,1996,f,25-34,11
4954,AM,1996,m,25-34,100
24546,AM,1996,f,35-44,9
7403,AM,1996,m,35-44,51
26995,AM,1996,f,45-54,8
9852,AM,1996,m,45-54,43
29444,AM,1996,f,55-64,4
12301,AM,1996,m,55-64,30
31893,AM,1996,f,65+,0
14750,AM,1996,m,65+,7
17200,AM,1997,f,0-14,3
57,AM,1997,m,0-14,2
19649,AM,1997,f,15-24,16
2506,AM,1997,m,15-24,85
22098,AM,1997,f,25-34,22
4955,AM,1997,m,25-34,59
24547,AM,1997,f,35-44,17
7404,AM,1997,m,35-44,77
26996,AM,1997,f,45-54,7
9853,AM,1997,m,45-54,51
29445,AM,1997,f,55-64,14
12302,AM,1997,m,55-64,34
31894,AM,1997,f,65+,1
14751,AM,1997,m,65+,12
17201,AM,1998,f,0-14,1
58,AM,1998,m,0-14,2
19650,AM,1998,f,15-24,21
2507,AM,1998,m,15-24,159
22099,AM,1998,f,25-34,20
4956,AM,1998,m,25-34,90
24548,AM,1998,f,35-44,11
7405,AM,1998,m,35-44,79
26997,AM,1998,f,45-54,10
9854,AM,1998,m,45-54,39
29446,AM,1998,f,55-64,5
12303,AM,1998,m,55-64,17
31895,AM,1998,f,65+,6
14752,AM,1998,m,65+,15
17202,AM,1999,f,0-14,6
59,AM,1999,m,0-14,4
19651,AM,1999,f,15-24,22
2508,AM,1999,m,15-24,151
22100,AM,1999,f,25-34,15
